"","Family","Genus","Species","Species w/o duplicates","Species w/o duplicates - condensed","Species w/ numerical values","Genus w/ numerical values","Species w/ numerical values - condensed","New Genus Name","New Species Name","Notes"
"809","Peptoniphilaceae","Peptoniphilus","HOT.836","HOT.836","Neisseria flavescens",NA,NA,NA,NA,NA,NA
"810","Peptostreptococcaceae","Peptostreptococcus","anaerobius","anaerobius","Cardiobacterium valvarum",NA,NA,NA,NA,NA,NA
"811","Porphyromonadaceae","Porphyromonas","catoniae",NA,"(No species provided)",NA,NA,NA,NA,NA,NA
"812","Porphyromonadaceae","Porphyromonas","HOT.284","HOT.284","Porphyromonas sp. (no species provided)",NA,NA,NA,NA,NA,NA
"813","Porphyromonadaceae","Porphyromonas","uenonis","uenonis","Treponema socranskii ss. buccale",NA,NA,NA,NA,NA,NA
"814","Prevotellaceae","Prevotella","bivia","bivia","Actinomyces gerencseriae OT 618","Actinomyces gerencseriae OT 618",NA,NA,NA,NA,NA
"815","Prevotellaceae","Prevotella","buccalis","buccalis","Actinomyces sp. OT 170","Actinomyces sp. OT 170",NA,NA,NA,NA,NA
"816","Prevotellaceae","Prevotella","enoeca","enoeca","Actinomyces naeslundii OT 176","Actinomyces naeslundii OT 176",NA,NA,NA,NA,NA
"817","Prevotellaceae","Prevotella","HOT.292","HOT.292","Actinomyces odontolyticus OT 701","Actinomyces odontolyticus OT 701",NA,NA,NA,NA,NA
"818","Prevotellaceae","Prevotella","HOT.299","HOT.299","Actinomyces sp. OT 169","Actinomyces sp. OT 169",NA,NA,NA,NA,NA
"819","Prevotellaceae","Prevotella","HOT.305","HOT.305","Actinomyces sp. OT 175","Actinomyces sp. OT 175",NA,NA,NA,NA,NA
"820","Prevotellaceae","Prevotella","HOT.309","HOT.309","Actinomyces sp. OT 177","Actinomyces sp. OT 177",NA,NA,NA,NA,NA
"821","Prevotellaceae","Prevotella","HOT.396","HOT.396","Porphyromonas catoniae OT 283","Porphyromonas catoniae OT 283",NA,NA,NA,NA,NA
"822","Prevotellaceae","Prevotella","HOT.475","HOT.475","Burkholderia cepacia OT 571","Burkholderia cepacia OT 571",NA,NA,NA,NA,NA
"823","Prevotellaceae","Prevotella","HOT.515","HOT.515","Rothia dentocariosa OT 587","Rothia dentocariosa OT 587",NA,NA,NA,NA,NA
"824","Prevotellaceae","Prevotella","multisaccharivorax","multisaccharivorax","Streptococcus sanguinis OT 758","Streptococcus sanguinis OT 758",NA,NA,NA,NA,NA
"825","Prevotellaceae","Prevotella","nigrescens",NA,"Veillonellaceae [G-1] sp. OT 155","Veillonellaceae [G-1] sp. OT 155",NA,NA,NA,NA,NA
"826","Prevotellaceae","Prevotella","oulorum","oulorum","Unclassified Xanthomonadaceae",NA,NA,NA,NA,NA,NA
"827","Prevotellaceae","Prevotella","pallens","pallens",NA,NA,NA,NA,NA,NA,NA
"828","Prevotellaceae","Prevotella","saccharolytica",NA,NA,NA,NA,NA,NA,NA,NA
"829","Prevotellaceae","Prevotella","shahii","shahii",NA,NA,NA,NA,NA,NA,NA
"830","Propionibacteriaceae","Propionibacterium","avidum","avidum",NA,NA,NA,NA,NA,NA,NA
"831","Propionibacteriaceae","Propionibacterium","HOT.915","HOT.915",NA,NA,NA,NA,NA,NA,NA
"832","Propionibacteriaceae","Propionibacterium","propionicum",NA,NA,NA,NA,NA,NA,NA,NA
"833","Morganellaceae","Proteus","mirabilis","mirabilis",NA,NA,NA,NA,NA,NA,NA
"834","Pseudomonadaceae","Pseudomonas","stutzeri","stutzeri",NA,NA,NA,NA,NA,NA,NA
"835","Burkholderiaceae","Ralstonia","HOT.027","HOT.027",NA,NA,NA,NA,NA,NA,NA
"836","Burkholderiaceae","Ralstonia","HOT.406","HOT.406",NA,NA,NA,NA,NA,NA,NA
"837","Burkholderiaceae","Ralstonia","pickettii","pickettii",NA,NA,NA,NA,NA,NA,NA
"838","Rhodocyclaceae","Rhodocyclus","HOT.028","HOT.028",NA,NA,NA,NA,NA,NA,NA
"839","Micrococcaceae","Rothia","aeria",NA,NA,NA,NA,NA,NA,NA,NA
"840","Micrococcaceae","Rothia","dentocariosa","dentocariosa",NA,NA,NA,NA,NA,NA,NA
"841","Micrococcaceae","Rothia","mucilaginosa","mucilaginosa",NA,NA,NA,NA,NA,NA,NA
"842","Sanguibacteraceae","Sanguibacter","keddieii","keddieii",NA,NA,NA,NA,NA,NA,NA
"843","Bifidobacteriaceae","Scardovia","inopinata","inopinata",NA,NA,NA,NA,NA,NA,NA
"844","Bifidobacteriaceae","Scardovia","wiggsiae","wiggsiae",NA,NA,NA,NA,NA,NA,NA
"845","Selenomonadaceae","Selenomonas","HOT.478","HOT.478",NA,NA,NA,NA,NA,NA,NA
"846","Selenomonadaceae","Selenomonas","HOT.501","HOT.501",NA,NA,NA,NA,NA,NA,NA
"847","Lachnospiraceae","Shuttleworthia","satelles","satelles",NA,NA,NA,NA,NA,NA,NA
"848","Alcaligenaceae","Simonsiella","muelleri","muelleri",NA,NA,NA,NA,NA,NA,NA
"849","Streptococcaceae","Streptococcus","agalactiae","agalactiae",NA,NA,NA,NA,NA,NA,NA
"850","Streptococcaceae","Streptococcus","HOT.066","HOT.066",NA,NA,NA,NA,NA,NA,NA
"851","Streptococcaceae","Streptococcus","HOT.068","HOT.068",NA,NA,NA,NA,NA,NA,NA
"852","Streptococcaceae","Streptococcus","HOT.070","HOT.070",NA,NA,NA,NA,NA,NA,NA
"853","Streptococcaceae","Streptococcus","mutans","mutans",NA,NA,NA,NA,NA,NA,NA
"854","Streptococcaceae","Streptococcus","pyogenes","pyogenes",NA,NA,NA,NA,NA,NA,NA
"855","Streptococcaceae","Streptococcus","salivarius","salivarius",NA,NA,NA,NA,NA,NA,NA
"856","Streptococcaceae","Streptococcus","sanguinis",NA,NA,NA,NA,NA,NA,NA,NA
"857","[G-1]","TM7 [G-1]","HOT.347","HOT.347",NA,NA,NA,NA,NA,NA,NA
"858","[G-2]","TM7 [G-2]","HOT.350","HOT.350",NA,NA,NA,NA,NA,NA,NA
"859","[G-4]","TM7 [G-4]","HOT.355","HOT.355",NA,NA,NA,NA,NA,NA,NA
"860","Corynebacteriaceae","Turicella","otitidis","otitidis",NA,NA,NA,NA,NA,NA,NA
"861","Veillonellaceae","Veillonella","HOT.917","HOT.917",NA,NA,NA,NA,NA,NA,NA
"862","Campylobacteraceae","Campylobacter","rectus","Campylobacter rectus",NA,NA,NA,NA,NA,NA,NA
"863","Moraxellaceae","Acinetobacter","baumannii HOT 554","baumannii HOT 554",NA,NA,NA,NA,NA,NA,NA
"864","Carnobacteriaceae","Alloiococcus","otitis HOT 831","otitis HOT 831",NA,NA,NA,NA,NA,NA,NA
"865","Bacillaceae","Bacillus","anthracis HOT 824","anthracis HOT 824",NA,NA,NA,NA,NA,NA,NA
"866","Bacillaceae","Bacillus","clausii HOT 45","clausii HOT 45",NA,NA,NA,NA,NA,NA,NA
"867","Bacillaceae","Bacillus","subtilis HOT 468","subtilis HOT 468",NA,NA,NA,NA,NA,NA,NA
"868","Chlamydiaceae","Chlamydophila","pneumoniae HOT 733","pneumoniae HOT 733",NA,NA,NA,NA,NA,NA,NA
"869","Corynebacteriaceae","Corynebacterium","diphtheriae HOT 591","diphtheriae HOT 591",NA,NA,NA,NA,NA,NA,NA
"870","Corynebacteriaceae","Corynebacterium","durum HOT 595","durum HOT 595",NA,NA,NA,NA,NA,NA,NA
"871","Corynebacteriaceae","Corynebacterium","urealyticum HOT 853","urealyticum HOT 853",NA,NA,NA,NA,NA,NA,NA
"872","Enterobacteriaceae","Cronobacter","sakazakii HOT 753","sakazakii HOT 753",NA,NA,NA,NA,NA,NA,NA
"873","Carnobacteriaceae","Dolosigranulum","pigrum HOT 813","pigrum HOT 813",NA,NA,NA,NA,NA,NA,NA
"874","Enterobacteriaceae","Enterobacter","hormaechei HOT 634","hormaechei HOT 634",NA,NA,NA,NA,NA,NA,NA
"875","Enterococcaceae","Enterococcus","casseliflavus HOT 801","casseliflavus HOT 801",NA,NA,NA,NA,NA,NA,NA
"876","Enterococcaceae","Enterococcus","durans HOT 880","durans HOT 880",NA,NA,NA,NA,NA,NA,NA
"877","Enterococcaceae","Enterococcus","faecalis HOT 604","faecalis HOT 604",NA,NA,NA,NA,NA,NA,NA
"878","Enterococcaceae","Enterococcus","italicus HOT 803","italicus HOT 803",NA,NA,NA,NA,NA,NA,NA
"879","Enterococcaceae","Enterococcus","saccharolyticus HOT 802","saccharolyticus HOT 802",NA,NA,NA,NA,NA,NA,NA
"880","Erysipelotrichaceae","Erysipelothrix","tonsillarum HOT 484","tonsillarum HOT 484",NA,NA,NA,NA,NA,NA,NA
"881","Enterobacteriaceae","Escherichia","coli HOT 574","coli HOT 574",NA,NA,NA,NA,NA,NA,NA
"882","Carnobacteriaceae","Gemella","haemolysans HOT 626","haemolysans HOT 626",NA,NA,NA,NA,NA,NA,NA
"883","Carnobacteriaceae","Gemella","sanguinis HOT 757","sanguinis HOT 757",NA,NA,NA,NA,NA,NA,NA
"884","Carnobacteriaceae","Granulicatella","adiacens HOT 534","adiacens HOT 534",NA,NA,NA,NA,NA,NA,NA
"885","Carnobacteriaceae","Granulicatella","elegans HOT 596","elegans HOT 596",NA,NA,NA,NA,NA,NA,NA
"886","Pasteurellaceae","Haemophilus","aegyptius HOT 535","aegyptius HOT 535",NA,NA,NA,NA,NA,NA,NA
"887","Pasteurellaceae","Haemophilus","ducreyi HOT 821","ducreyi HOT 821",NA,NA,NA,NA,NA,NA,NA
"888","Pasteurellaceae","Haemophilus","haemolyticus HOT 851","haemolyticus HOT 851",NA,NA,NA,NA,NA,NA,NA
"889","Pasteurellaceae","Haemophilus","influenzae HOT 641","influenzae HOT 641",NA,NA,NA,NA,NA,NA,NA
"890","Pasteurellaceae","Haemophilus","parainfluenzae HOT 718","parainfluenzae HOT 718",NA,NA,NA,NA,NA,NA,NA
"891","Neisseriaceae","Kingella","kingae HOT 646","kingae HOT 646",NA,NA,NA,NA,NA,NA,NA
"892","Enterobacteriaceae","Klebsiella","pneumoniae HOT 731","pneumoniae HOT 731",NA,NA,NA,NA,NA,NA,NA
"893","Lactobacillaceae","Lactobacillus","acidophilus HOT 529","acidophilus HOT 529",NA,NA,NA,NA,NA,NA,NA
"894","Lactobacillaceae","Lactobacillus","brevis HOT 558","brevis HOT 558",NA,NA,NA,NA,NA,NA,NA
"895","Lactobacillaceae","Lactobacillus","buchneri HOT 881","buchneri HOT 881",NA,NA,NA,NA,NA,NA,NA
"896","Lactobacillaceae","Lactobacillus","casei HOT 568","casei HOT 568",NA,NA,NA,NA,NA,NA,NA
"897","Lactobacillaceae","Lactobacillus","colehominis HOT 816","colehominis HOT 816",NA,NA,NA,NA,NA,NA,NA
"898","Lactobacillaceae","Lactobacillus","iners HOT 838","iners HOT 838",NA,NA,NA,NA,NA,NA,NA
"899","Lactobacillaceae","Lactobacillus","johnsonii HOT 819","johnsonii HOT 819",NA,NA,NA,NA,NA,NA,NA
"900","Lactobacillaceae","Lactobacillus","kisonensis HOT 424","kisonensis HOT 424",NA,NA,NA,NA,NA,NA,NA
"901","Lactobacillaceae","Lactobacillus","oris HOT 709","oris HOT 709",NA,NA,NA,NA,NA,NA,NA
"902","Lactobacillaceae","Lactobacillus","paracasei HOT 716","paracasei HOT 716",NA,NA,NA,NA,NA,NA,NA
"903","Lactobacillaceae","Lactobacillus","parafarraginis HOT 418","parafarraginis HOT 418",NA,NA,NA,NA,NA,NA,NA
"904","Lactobacillaceae","Lactobacillus","reuteri HOT 818","reuteri HOT 818",NA,NA,NA,NA,NA,NA,NA
"905","Lactobacillaceae","Lactobacillus","vaginalis HOT 51","vaginalis HOT 51",NA,NA,NA,NA,NA,NA,NA
"906","Streptococcaceae","Lactococcus","lactis HOT 804","lactis HOT 804",NA,NA,NA,NA,NA,NA,NA
"907","Listeriaceae","Listeria","monocytogenes HOT 825","monocytogenes HOT 825",NA,NA,NA,NA,NA,NA,NA
"908","Bacillaceae","Lysinibacillus","fusiformis HOT 614","fusiformis HOT 614",NA,NA,NA,NA,NA,NA,NA
"909","Neisseriaceae","Neisseria","flavescens HOT 610","flavescens HOT 610",NA,NA,NA,NA,NA,NA,NA
"910","Neisseriaceae","Neisseria","subflava HOT 476","subflava HOT 476",NA,NA,NA,NA,NA,NA,NA
"911","Brucellaceae","Ochrobactrum","anthropi HOT 544","anthropi HOT 544",NA,NA,NA,NA,NA,NA,NA
"912","Peptoniphilaceae","Peptoniphilus","indolicus HOT 840","indolicus HOT 840",NA,NA,NA,NA,NA,NA,NA
"913","Peptoniphilaceae","Peptoniphilus","sp. oral taxon 375 HOT 375","sp. oral taxon 375 HOT 375",NA,NA,NA,NA,NA,NA,NA
"914","Propionibacteriaceae","Propionibacterium","sp. oral taxon 192 HOT 192","sp. oral taxon 192 HOT 192",NA,NA,NA,NA,NA,NA,NA
"915","Pseudomonadaceae","Pseudomonas","fluorescens HOT 612","fluorescens HOT 612",NA,NA,NA,NA,NA,NA,NA
"916","Rhodobacteraceae","Rhodobacter","capsulatus HOT 857","capsulatus HOT 857",NA,NA,NA,NA,NA,NA,NA
"917","Micrococcaceae","Rothia","mucilaginosa HOT 681","mucilaginosa HOT 681",NA,NA,NA,NA,NA,NA,NA
"918","Alcaligenaceae","Simonsiella","muelleri HOT 683","muelleri HOT 683",NA,NA,NA,NA,NA,NA,NA
"919","Staphylococcaceae","Staphylococcus","aureus HOT 550","aureus HOT 550",NA,NA,NA,NA,NA,NA,NA
"920","Staphylococcaceae","Staphylococcus","warneri HOT 76","warneri HOT 76",NA,NA,NA,NA,NA,NA,NA
"921","Xanthomonadaceae","Stenotrophomonas","maltophilia HOT 663","maltophilia HOT 663",NA,NA,NA,NA,NA,NA,NA
"922","Streptococcaceae","Streptococcus","agalactiae HOT 537","agalactiae HOT 537",NA,NA,NA,NA,NA,NA,NA
"923","Streptococcaceae","Streptococcus","australis HOT 73","australis HOT 73",NA,NA,NA,NA,NA,NA,NA
"924","Streptococcaceae","Streptococcus","downei HOT 594","downei HOT 594",NA,NA,NA,NA,NA,NA,NA
"925","Streptococcaceae","Streptococcus","infantis HOT 638","infantis HOT 638",NA,NA,NA,NA,NA,NA,NA
"926","Streptococcaceae","Streptococcus","mitis HOT 677","mitis HOT 677",NA,NA,NA,NA,NA,NA,NA
"927","Streptococcaceae","Streptococcus","oligofermentans HOT 886","oligofermentans HOT 886",NA,NA,NA,NA,NA,NA,NA
"928","Streptococcaceae","Streptococcus","oralis HOT 707","oralis HOT 707",NA,NA,NA,NA,NA,NA,NA
"929","Streptococcaceae","Streptococcus","parasanguinis HOT 721","parasanguinis HOT 721",NA,NA,NA,NA,NA,NA,NA
"930","Streptococcaceae","Streptococcus","parasanguinis II HOT 411","parasanguinis II HOT 411",NA,NA,NA,NA,NA,NA,NA
"931","Streptococcaceae","Streptococcus","peroris HOT 728","peroris HOT 728",NA,NA,NA,NA,NA,NA,NA
"932","Streptococcaceae","Streptococcus","pneumoniae HOT 734","pneumoniae HOT 734",NA,NA,NA,NA,NA,NA,NA
"933","Streptococcaceae","Streptococcus","pyogenes HOT 745","pyogenes HOT 745",NA,NA,NA,NA,NA,NA,NA
"934","Streptococcaceae","Streptococcus","sanguinis HOT 758","sanguinis HOT 758",NA,NA,NA,NA,NA,NA,NA
"935","Streptococcaceae","Streptococcus","sp. oral taxon 056 HOT 56","sp. oral taxon 056 HOT 56",NA,NA,NA,NA,NA,NA,NA
"936","Streptococcaceae","Streptococcus","sp. oral taxon 058 HOT 58","sp. oral taxon 058 HOT 58",NA,NA,NA,NA,NA,NA,NA
"937","Streptococcaceae","Streptococcus","sp. oral taxon 066 HOT 66","sp. oral taxon 066 HOT 66",NA,NA,NA,NA,NA,NA,NA
"938","Enterobacteriaceae","Yersinia","pestis HOT 827","pestis HOT 827",NA,NA,NA,NA,NA,NA,NA
"939","Actinomycetaceae","Actinomyces","viscosus II","viscosus II",NA,NA,NA,NA,NA,NA,NA
"940","Campylobacteraceae","Campylobacter","concisus",NA,NA,NA,NA,NA,NA,NA,NA
"941","Enterobacteriaceae","Escherichia","coli","coli",NA,NA,NA,NA,NA,NA,NA
"942","Peptoniphilaceae","Filifactor","alocis","alocis",NA,NA,NA,NA,NA,NA,NA
"943","Fusobacteriaceae","Fusobacterium","nucleatum spp. vincentii (strain 49)","nucleatum spp. vincentii (strain 49)",NA,NA,NA,NA,NA,NA,NA
"944","Veillonellaceae","Veillonella","parvula",NA,NA,NA,NA,NA,NA,NA,NA
"945","Acidaminococcaceae","G2 sp.","ot131","ot131",NA,NA,NA,NA,NA,NA,NA
"946","Actinomycetaceae","Actinomyces","gerencseriae _ot618","gerencseriae _ot618",NA,NA,NA,NA,NA,NA,NA
"947","Bacteroidaceae","G2 sp.","ot274","ot274",NA,NA,NA,NA,NA,NA,NA
"948","Bergeyellaceae","Bergeyella","sp. _ot322","sp. _ot322",NA,NA,NA,NA,NA,NA,NA
"949","Burkholderiaceae","Burkholderia","cepacia _ot571","cepacia _ot571",NA,NA,NA,NA,NA,NA,NA
"950","Campylobacteraceae","Campylobacter","Cluster1_ot580_748_763","Cluster1_ot580_748_763",NA,NA,NA,NA,NA,NA,NA
"951","Campylobacteraceae","Campylobacter","gracilis_ot623","gracilis_ot623",NA,NA,NA,NA,NA,NA,NA
"952","Campylobacteraceae","Campylobacter","showae_ot763","showae_ot763",NA,NA,NA,NA,NA,NA,NA
"953","Porphyromonadaceae","Capnocytophaga","granulosa_ot325_326","granulosa_ot325_326",NA,NA,NA,NA,NA,NA,NA
"954","Porphyromonadaceae","Capnocytophaga","sputigena_ot775","sputigena_ot775",NA,NA,NA,NA,NA,NA,NA
"955","Cardiobacteriaceae","Cardiobacterium","hominis_ot633","hominis_ot633",NA,NA,NA,NA,NA,NA,NA
"956","Eubacteriaceae","Eubacterium","saburreum_ot494","saburreum_ot494",NA,NA,NA,NA,NA,NA,NA
"957","Lachnospiraceae","Lachnospiraceae","sp._ot082","sp._ot082",NA,NA,NA,NA,NA,NA,NA
"958","Eubacteriaceae","Eubacterium","saburreum",NA,NA,NA,NA,NA,NA,NA,NA
"959","Fusobacteriaceae","Fusobacterium","nucleatum ss. nucleatum and animalis_ot420_698","nucleatum ss. nucleatum and animalis_ot420_698",NA,NA,NA,NA,NA,NA,NA
"960","Haemophilaceae","Haemophilus","parainfluenzae_ot718","parainfluenzae_ot718",NA,NA,NA,NA,NA,NA,NA
"961","Neisseriaceae","Kingella","oralis and Neisseria sp._ot009_706","oralis and Neisseria sp._ot009_706",NA,NA,NA,NA,NA,NA,NA
"962","Neisseriaceae","Kingella","oralis_ot706","oralis_ot706",NA,NA,NA,NA,NA,NA,NA
"963","Lautropiaceae","Lautropia","mirabilis_ot022","mirabilis_ot022",NA,NA,NA,NA,NA,NA,NA
"964","Leptotrichiaceae","Leptotrichia","buccalis and goodfellowii_ot563","buccalis and goodfellowii_ot563",NA,NA,NA,NA,NA,NA,NA
"965","Leptotrichiaceae","Leptotrichia","hofstadii_ot223_224","hofstadii_ot223_224",NA,NA,NA,NA,NA,NA,NA
"966","Leptotrichiaceae","Leptotrichia","hofstadii_ot224","hofstadii_ot224",NA,NA,NA,NA,NA,NA,NA
"967","Prevotellaceae","Prevotella","loescheii_ot472_658","loescheii_ot472_658",NA,NA,NA,NA,NA,NA,NA
"968","Selenomonadaceae","Selenomonas","noxia_ot130_140","noxia_ot130_140",NA,NA,NA,NA,NA,NA,NA
"969","Streptococcaceae","Streptococcus","cristatus_ot058_578","cristatus_ot058_578",NA,NA,NA,NA,NA,NA,NA
"970","Streptococcaceae","Streptococcus","mitis bv2_ot069_39","mitis bv2_ot069_39",NA,NA,NA,NA,NA,NA,NA
"971","Streptococcaceae","Streptococcus","sp. HansH6 and 7A_ot070_071","sp. HansH6 and 7A_ot070_071",NA,NA,NA,NA,NA,NA,NA
"972","Tannerellaceae","Tannerella","sp._ot286","sp._ot286",NA,NA,NA,NA,NA,NA,NA
"973","Actinomycetaceae","Actinomyces","naeslundii HOT 176 V1 2 176","naeslundii HOT 176 V1 2 176",NA,NA,NA,NA,NA,NA,NA
"974","Actinomycetaceae","Actinomyces","oris HOT 893 V1 2 325","oris HOT 893 V1 2 325",NA,NA,NA,NA,NA,NA,NA
"975","Fusobacteriaceae","Fusobacterium","sp V1 2 447","sp V1 2 447",NA,NA,NA,NA,NA,NA,NA
"976","Gemellaceae","Gemella","haemolysans HOT 626 V1-2 153","haemolysans HOT 626 V1-2 153",NA,NA,NA,NA,NA,NA,NA
"977","Haemophilaceae","Haemophilus","sp V1 2 337","sp V1 2 337",NA,NA,NA,NA,NA,NA,NA
"978","Neisseriaceae","Neisseria","flavescens HOT 610 V1 2 49","flavescens HOT 610 V1 2 49",NA,NA,NA,NA,NA,NA,NA
"979","Moraxellaceae","Moraxella","sp V1 2 156","sp V1 2 156",NA,NA,NA,NA,NA,NA,NA
"980","Neisseriaceae","Neisseria","flavescens HOT 610 V1 2 49",NA,NA,NA,NA,NA,NA,NA,NA
"981","Selenomonadaceae","Selenomonas","noxia HOT 130 V1 2 141","noxia HOT 130 V1 2 141",NA,NA,NA,NA,NA,NA,NA
"982","Selenomonadaceae","Selenomonas","noxia HOT 130 V1 2 39","noxia HOT 130 V1 2 39",NA,NA,NA,NA,NA,NA,NA
"983","Selenomonadaceae","Selenomonas","sp V1 2 84","sp V1 2 84",NA,NA,NA,NA,NA,NA,NA
"984","Streptococcaceae","Streptococcus","sp V1 2 160","sp V1 2 160",NA,NA,NA,NA,NA,NA,NA
"985","Streptococcaceae","Streptococcus","sp HOT 065 V1 2 280","sp HOT 065 V1 2 280",NA,NA,NA,NA,NA,NA,NA
"986","Streptococcaceae","Streptococcus","sp V1 2 15","sp V1 2 15",NA,NA,NA,NA,NA,NA,NA
"987","Streptococcaceae","Streptococcus","sp V1 2 324","sp V1 2 324",NA,NA,NA,NA,NA,NA,NA
"988","Streptococcaceae","Streptococcus","sp V1 2 554","sp V1 2 554",NA,NA,NA,NA,NA,NA,NA
"989","TM7 family","TM7","G1 sp HOT 347 V1 2 238","G1 sp HOT 347 V1 2 238",NA,NA,NA,NA,NA,NA,NA
"990","Actinomycetaceae","Actinomyces","oral taxon 170","oral taxon 170",NA,NA,NA,NA,NA,NA,NA
"991","Gemellaceae","Gemella","haemolysans","haemolysans",NA,NA,NA,NA,NA,NA,NA
"992","Carnobacteriaceae","Granulicatella","adiacens",NA,NA,NA,NA,NA,NA,NA,NA
"993","Streptococcaceae","Streptococcus","mitis",NA,NA,NA,NA,NA,NA,NA,NA
"994","Streptococcaceae","Streptococcus","sanguis",NA,NA,NA,NA,NA,NA,NA,NA
"995","Actinomycetaceae","Actinomyces","naeslundii oral taxon 176","naeslundii oral taxon 176",NA,NA,NA,NA,NA,NA,NA
"996","Actinomycetaceae","Actinomyces","sp. oral taxon 169","sp. oral taxon 169",NA,NA,NA,NA,NA,NA,NA
"997","Actinomycetaceae","Actinomyces","sp. oral taxon 170","sp. oral taxon 170",NA,NA,NA,NA,NA,NA,NA
"998","Actinomycetaceae","Actinomyces","sp. oral taxon 171","sp. oral taxon 171",NA,NA,NA,NA,NA,NA,NA
"999","Actinomycetaceae","Actinomyces","sp. oral taxon 175","sp. oral taxon 175",NA,NA,NA,NA,NA,NA,NA
"1000","Flavobacteriaceae","Capnocytophaga","gingivalis oral taxon 337","gingivalis oral taxon 337",NA,NA,NA,NA,NA,NA,NA
"1001","Corynebacteriaceae","Corynebacterium","durum oral taxon 595","durum oral taxon 595",NA,NA,NA,NA,NA,NA,NA
"1002","Corynebacteriaceae","Corynebacterium","matruchotii oral taxon 666","matruchotii oral taxon 666",NA,NA,NA,NA,NA,NA,NA
"1003","Fusobacteriaceae","Fusobacterium","nucleatum subsp. polymorphum oral taxon 202","nucleatum subsp. polymorphum oral taxon 202",NA,NA,NA,NA,NA,NA,NA
"1004","Gemellaceae","Gemella","haemolysans oral taxon 626","haemolysans oral taxon 626",NA,NA,NA,NA,NA,NA,NA
"1005","Carnobacteriaceae","Granulicatella","adiacens oral taxon 534","adiacens oral taxon 534",NA,NA,NA,NA,NA,NA,NA
"1006","Porphyromonadaceae","Porphyromonas","sp. oral taxon 279","sp. oral taxon 279",NA,NA,NA,NA,NA,NA,NA
"1007","Micrococcaceae","Rothia","aeria oral taxon 188","aeria oral taxon 188",NA,NA,NA,NA,NA,NA,NA
"1008","Micrococcaceae","Rothia","dentocariosa oral taxon 587","dentocariosa oral taxon 587",NA,NA,NA,NA,NA,NA,NA
"1009","Streptococcaceae","Streptococcus","cristatus oral taxon 578","cristatus oral taxon 578",NA,NA,NA,NA,NA,NA,NA
"1010","Streptococcaceae","Streptococcus","gordonii oral taxon 622","gordonii oral taxon 622",NA,NA,NA,NA,NA,NA,NA
"1011","Streptococcaceae","Streptococcus","mitis oral taxon 677","mitis oral taxon 677",NA,NA,NA,NA,NA,NA,NA
"1012","Streptococcaceae","Streptococcus","mitis bv2 oral taxon 398","mitis bv2 oral taxon 398",NA,NA,NA,NA,NA,NA,NA
"1013","Streptococcaceae","Streptococcus","sanguis oral taxon 758","sanguis oral taxon 758",NA,NA,NA,NA,NA,NA,NA
"1014","Streptococcaceae","Streptococcus","sp. oral taxon 64","sp. oral taxon 64",NA,NA,NA,NA,NA,NA,NA
"1015","Streptococcaceae","Streptococcus","vestibularis oral taxon 21","vestibularis oral taxon 21",NA,NA,NA,NA,NA,NA,NA
"1016","Veillonellaceae","Veillonella","parvula oral taxon 161","parvula oral taxon 161",NA,NA,NA,NA,NA,NA,NA
"1017","Comamonadaceae","Unclassified FX006","-","-",NA,NA,NA,NA,NA,NA,NA
"1018","Actinomycetaceae","Actinomyces","georgiae","Actinomyces georgiae",NA,NA,NA,NA,NA,NA,NA
"1019","Actinomycetaceae","Actinomyces","johnsonii","Actinomyces johnsonii",NA,NA,NA,NA,NA,NA,NA
"1020","Pasteurellaceae","Aggregatibacter","DQ003635","Aggregatibacter DQ003635",NA,NA,NA,NA,NA,NA,NA
"1021","Pasteurellaceae","Aggregatibacter","Other","Aggregatibacter Other",NA,NA,NA,NA,NA,NA,NA
"1022","Campylobacteraceae","Campylobacter","Other","Campylobacter Other",NA,NA,NA,NA,NA,NA,NA
"1023","Capnocytophagaceae","Capnocytophaga","Other","Capnocytophaga s__ (???)",NA,NA,NA,NA,NA,NA,NA
"1024","Capnocytophagaceae","Capnocytophaga","Other","Capnocytophaga Other",NA,NA,NA,NA,NA,NA,NA
"1025","Capnocytophagaceae","Capnocytophaga","X089","Capnocytophaga X089",NA,NA,NA,NA,NA,NA,NA
"1026","Capnocytophagaceae","Capnocytophaga","leadbetteri","Capnocytophaga leadbetteri",NA,NA,NA,NA,NA,NA,NA
"1027","Corynebacteriaceae","Corynebacterium","Other","Corynebacterium Other",NA,NA,NA,NA,NA,NA,NA
"1028","Corynebacteriaceae","Corynebacterium","matruchotii","Corynebacterium matruchotii",NA,NA,NA,NA,NA,NA,NA
"1029","Neisseriaceae","Kingella","Other","Kingella Other",NA,NA,NA,NA,NA,NA,NA
"1030","Neisseriaceae","Kingella","denitrificans","Kingella denitrificans",NA,NA,NA,NA,NA,NA,NA
"1031","Neisseriaceae","Kingella","oralis","Kingella oralis",NA,NA,NA,NA,NA,NA,NA
"1032","Leptotrichiaceae","Leptotrichia","Other","Leptotrichia Other",NA,NA,NA,NA,NA,NA,NA
"1033","Neisseriaceae","Neisseria","flava mucosa pharyngis","Neisseria flava mucosa pharyngis",NA,NA,NA,NA,NA,NA,NA
"1034","Bifidobacteriaceae","Oribacterium","sinus","Oribacterium sinus",NA,NA,NA,NA,NA,NA,NA
"1035","Porphyromonadaceae","Porphyromonas","CW034","Porphyromonas CW034",NA,NA,NA,NA,NA,NA,NA
